concurrency_level,loop_number,total_sentences,thread_id,thread_start_sec,thread_end_sec,total_duration_sec,gpu_vram_mb,gpu_util_pct
1,1,1,0,0.0004,2.0917,2.0913,2168.8,99.0
1,1,1,0,2.2601,4.8802,2.6202,2168.8,99.0
1,1,1,0,5.0137,8.1957,3.1819,2188.8,99.0
1,1,1,0,8.2675,10.1904,1.9229,2188.8,99.0
1,1,1,0,10.2704,14.5576,4.2873,2188.8,100.0
1,1,1,0,14.7748,16.9292,2.1545,2188.8,99.0
1,1,1,0,17.0293,20.7152,3.6859,2188.8,100.0
1,1,1,0,20.7834,22.4612,1.6777,2188.8,99.0
1,2,1,0,22.5351,25.154,2.6189,2188.8,99.0
1,2,1,0,25.2888,28.4764,3.1875,2188.8,100.0
1,2,1,0,28.5426,30.4639,1.9213,2188.8,99.0
1,2,1,0,30.5457,34.8338,4.2881,2188.8,99.0
1,2,1,0,35.0506,37.2083,2.1577,2188.8,99.0
1,2,1,0,37.3041,40.989,3.6849,2188.8,99.0
1,2,1,0,41.0594,42.7219,1.6625,2188.8,99.0
1,2,1,0,42.8124,44.9016,2.0892,2188.8,99.0
2,1,2,1,45.0694,49.8528,4.7834,2260.8,99.0
2,1,2,0,45.0681,49.8463,4.7782,2260.8,99.0
2,1,2,0,50.0742,55.213,5.1388,2260.8,100.0
2,1,2,1,50.0756,55.2042,5.1286,2260.8,100.0
2,1,2,1,55.3322,61.8204,6.4882,2282.8,100.0
2,1,2,0,55.3309,61.8341,6.5032,2282.8,100.0
2,1,2,1,62.09,67.4493,5.3593,2282.8,100.0
2,1,2,0,62.0887,67.4605,5.3718,2282.8,100.0
2,2,2,1,67.5956,72.7547,5.159,2282.8,100.0
2,2,2,0,67.5943,72.7641,5.1698,2282.8,100.0
2,2,2,0,72.8499,79.3297,6.4798,2282.8,100.0
2,2,2,1,72.8511,79.316,6.4649,2282.8,100.0
2,2,2,1,79.3565,84.6884,5.3319,2282.8,99.0
2,2,2,0,79.356,84.7001,5.344,2282.8,99.0
2,2,2,0,84.8615,89.6022,4.7407,2282.8,99.0
2,2,2,1,84.8627,89.609,4.7462,2282.8,99.0
4,1,4,3,89.8717,99.8075,9.9358,2428.8,100.0
4,1,4,0,89.8686,99.812,9.9433,2428.8,100.0
4,1,4,1,89.8697,99.8188,9.9491,2428.8,100.0
4,1,4,2,89.8706,99.8284,9.9578,2428.8,100.0
4,1,4,3,99.8769,111.7488,11.8719,2448.8,100.0
4,1,4,1,99.8763,111.7533,11.8769,2448.8,100.0
4,1,4,2,99.8766,111.7778,11.9012,2448.8,100.0
4,1,4,0,99.8759,111.7781,11.9022,2448.8,100.0
4,2,4,3,111.89,123.8426,11.9526,2448.8,100.0
4,2,4,1,111.8875,123.8469,11.9594,2448.8,100.0
4,2,4,2,111.8888,123.8719,11.9831,2448.8,100.0
4,2,4,0,111.8863,123.8718,11.9855,2448.8,100.0
4,2,4,2,123.8972,133.9199,10.0226,2448.8,100.0
4,2,4,1,123.8969,133.9199,10.023,2448.8,100.0
4,2,4,3,123.8977,133.9003,10.0026,2448.8,100.0
4,2,4,0,123.8965,133.904,10.0075,2448.8,100.0
8,1,8,4,134.1631,157.587,23.4239,2758.8,70.0
8,1,8,3,134.162,157.8502,23.6883,2758.8,100.0
8,1,8,7,134.2232,157.8531,23.6299,2758.8,100.0
8,1,8,0,134.1583,157.8581,23.6999,2758.8,100.0
8,1,8,1,134.1592,157.8902,23.7309,2758.8,100.0
8,1,8,5,134.1641,157.8904,23.7263,2758.8,100.0
8,1,8,2,134.1602,157.8909,23.7308,2758.8,100.0
8,1,8,6,134.1812,157.8909,23.7097,2758.8,100.0
8,2,8,2,158.0092,180.7362,22.727,2758.8,98.0
8,2,8,1,158.0081,181.3135,23.3054,2758.8,100.0
8,2,8,5,158.0123,181.8155,23.8032,2758.8,100.0
8,2,8,7,158.0148,181.8187,23.8039,2758.8,100.0
8,2,8,3,158.01,181.8157,23.8057,2758.8,100.0
8,2,8,0,158.0068,181.8124,23.8056,2758.8,100.0
8,2,8,6,158.0131,181.8444,23.8312,2758.8,100.0
8,2,8,4,158.0107,181.8445,23.8338,2758.8,100.0
